codigo_regiao,nome_regiao,id_uf,nome_uf,CD_MUN,nome_municipio,total_setores,total_pessoas,total_domicilios,total_domicilios_particulares,total_domicilios_coletivos,media_moradores_domicilio_particular_ocupado,percentual_domicilios_particulares_ocupados,total_domicilios_particulares_ocupados
2,Nordeste,23,Ceará,2312601,São Luís do Curu,33,10822,5280,5261,19,"2,790535299","1,887768296",3867
2,Nordeste,23,Ceará,2312700,Senador Pompeu,70,24266,11741,11733,8,"2,705993973","0,01116196",8959
2,Nordeste,23,Ceará,2312809,Senador Sá,16,7262,3266,3264,2,"2,988884315",,2429
2,Nordeste,23,Ceará,2312908,Sobral,410,203023,84238,84156,82,"2,961203856","3,058135434",68048
2,Nordeste,23,Ceará,2313005,Solonópole,43,18179,8201,8199,2,"2,75773665","0,060679612",6592
2,Nordeste,23,Ceará,2313104,Tabuleiro do Norte,99,30652,15326,15321,5,"2,608732658","0,034045451",11749
2,Nordeste,23,Ceará,2313203,Tamboril,111,24815,10998,10989,9,"2,874840654","0,011588828",8629
2,Nordeste,23,Ceará,2313252,Tarrafas,31,7529,3755,3754,1,"2,82152231","0,074990626",2667
2,Nordeste,23,Ceará,2313302,Tauá,136,61227,27061,27047,14,"2,897547581",,21122
2,Nordeste,23,Ceará,2313351,Tejuçuoca,50,17154,7683,7676,7,"3,052284083",,5604
2,Nordeste,23,Ceará,2313401,Tianguá,183,81506,32536,32511,25,"3,173882545","1,145707494",25661
2,Nordeste,23,Ceará,2313500,Trairi,130,58415,25960,25904,56,"3,086655388","2,500793063",18914
2,Nordeste,23,Ceará,2313559,Tururu,37,15412,7212,7210,2,"3,035053171","1,201260339",5078
2,Nordeste,23,Ceará,2313609,Ubajara,95,32767,13424,13413,11,"3,116248097","0,742009132",10512
2,Nordeste,23,Ceará,2313708,Umari,17,6871,3139,3138,1,"2,851805729",,2409
2,Nordeste,23,Ceará,2313757,Umirim,41,17470,7600,7580,20,"3,083509887","0,600282486",5664
2,Nordeste,23,Ceará,2313807,Uruburetama,40,20189,7969,7958,11,"3,154038431","0,796750508",6401
2,Nordeste,23,Ceará,2313906,Uruoca,38,13746,5936,5932,4,"2,945349336","0,150021432",4666
2,Nordeste,23,Ceará,2313955,Varjota,36,18105,7488,7486,2,"2,956223456","0,032669062",6122
2,Nordeste,23,Ceará,2314003,Várzea Alegre,109,38984,17842,17836,6,"2,773286843","0,611968975",14053
2,Nordeste,23,Ceará,2314102,Viçosa do Ceará,124,59712,22760,22748,12,"3,266728675","0,311867374",18277
