nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
BEATRIZ FELIPE BRAGA,6,DEPUTADO FEDERAL,1551,15
MAYA ELIZ SOUSA LIMA,6,DEPUTADO FEDERAL,5007,50
ANA LIDIA RODRIGUES LIMA,6,DEPUTADO FEDERAL,5044,50
DENIS ANDERSON DA ROCHA BEZERRA,6,DEPUTADO FEDERAL,4000,40
LINO ALVES DE ALMEIDA,6,DEPUTADO FEDERAL,2929,29
RONALDO VIEIRA DA SILVA,6,DEPUTADO FEDERAL,5118,51
ELINETE TORRES DA SILVA,6,DEPUTADO FEDERAL,1113,11
JAQUELINE ALVES DANTAS,6,DEPUTADO FEDERAL,5578,55
ADAIL FERNANDES VIEIRA JUNIOR,6,DEPUTADO FEDERAL,1277,12
ANNA KARINA CAVALCANTE DE OLIVEIRA,6,DEPUTADO FEDERAL,5005,50
RAIMUNDO GOMES FARIAS,6,DEPUTADO FEDERAL,1112,11
CARLOS ANTONIO MARTINS MORAIS,6,DEPUTADO FEDERAL,3588,35
MARIA JOSÉ MAIA,6,DEPUTADO FEDERAL,5577,55
ORIEL MOTA FILHO,6,DEPUTADO FEDERAL,1455,14
FRANCISCO WAGNER LOBO PEREIRA,6,DEPUTADO FEDERAL,1090,10
REJANE PINHEIRO JARDELINO,6,DEPUTADO FEDERAL,1319,13
DIMAS MATIAS DA SILVA,6,DEPUTADO FEDERAL,7080,70
JORDANIA MARIA ALVES DE OLIVEIRA,6,DEPUTADO FEDERAL,1444,14
ISABEL MARIA SILVA BRAGA,6,DEPUTADO FEDERAL,5575,55
FRANCISCO WILTON DE ALMEIDA,6,DEPUTADO FEDERAL,4545,45
ESMERALDA ROBERTO DE SOUSA LIMA,6,DEPUTADO FEDERAL,1544,15
JOÃO LUIZ FELIPE PINHEIRO,6,DEPUTADO FEDERAL,1923,19
JOSÉ WILSON DE MELO,6,DEPUTADO FEDERAL,7013,70
CLÁUDIA CRISTINA DOS SANTOS SANO,6,DEPUTADO FEDERAL,2313,23
SAMUEL CORREIA DA SILVA,6,DEPUTADO FEDERAL,1502,15
JOSE GERALDO ARAUJO CORREIA,6,DEPUTADO FEDERAL,4568,45
JOSÉ TARSO MAGNO TEIXEIRA DA SILVA,6,DEPUTADO FEDERAL,1123,11
CAMILLA RAQUEL LEITE DE OLIVEIRA GARCIA,6,DEPUTADO FEDERAL,3600,36
FRANCISCO REGINALDO MOREIRA GOMES,6,DEPUTADO FEDERAL,1429,14
MAXWELLMA FRANCO VIEIRA,6,DEPUTADO FEDERAL,3310,33
AIRTON GLEISSON TEIXEIRA LIMA,6,DEPUTADO FEDERAL,5010,50
FRANCY AMANDA SOARES CORREIA,6,DEPUTADO FEDERAL,1511,15
RAIMUNDO GERSON DOS SANTOS LIMA,6,DEPUTADO FEDERAL,4512,45
CARLOS MAGNO DE ALMEIDA,6,DEPUTADO FEDERAL,5115,51
EMANUELLE SANTOS CARNEIRO SILVA,6,DEPUTADO FEDERAL,1055,10
FRANCISCO FEITOSA DE ALBUQUERQUE LIMA,6,DEPUTADO FEDERAL,4599,45
FRANCISCO MAURICIO DA COSTA,6,DEPUTADO FEDERAL,9088,90
CHISTIANNE MARIA GOMES DE FREITAS,6,DEPUTADO FEDERAL,3535,35
POLLYANNA KELLY RIBEIRO DE LIMA,6,DEPUTADO FEDERAL,1569,15
GABRIEL LIMA DE AGUIAR,6,DEPUTADO FEDERAL,5055,50
ELANIO PEREIRA DE SOUZA,6,DEPUTADO FEDERAL,3622,36
FLÁVIO ROBERTO FERREIRA VAZ,6,DEPUTADO FEDERAL,1215,12
ANTONIO IDILVAN DE LIMA ALENCAR,6,DEPUTADO FEDERAL,1213,12
GERALDO AMANCIO PEREIRA,6,DEPUTADO FEDERAL,5567,55
ANTÔNIO PIERRE AGUIAR NETO,6,DEPUTADO FEDERAL,7044,70
ELIANE FRANÇA FERREIRA,6,DEPUTADO FEDERAL,2023,20
EDUARDO HENRIQUE MAIA BISMARCK,6,DEPUTADO FEDERAL,1214,12
MICHAEL GANDHI MONTEIRO DOS SANTOS,6,DEPUTADO FEDERAL,1599,15
SUENY RABELO DANTAS,6,DEPUTADO FEDERAL,1441,14
ELIESIO ROCHA ADRIANO,6,DEPUTADO FEDERAL,5590,55
MARCOS NAUBER FERREIRA ESTACIO,6,DEPUTADO FEDERAL,4044,40
JOSÉ IZAIAS NEPOMUCENO DE CARVALHO,6,DEPUTADO FEDERAL,1920,19
DIANA HELENA SOARES ROCHA MARINHO SARAIVA,6,DEPUTADO FEDERAL,1933,19
PAULO EMILIO CORDEIRO CAMPOS,6,DEPUTADO FEDERAL,1353,13
MARIA CELIA FERREIRA LOPES DUARTE,6,DEPUTADO FEDERAL,1478,14
