nome_municipio,ano,total_furtos
Camocim,2011,14
Camocim,2012,13
Camocim,2013,140
Camocim,2014,355
Camocim,2015,331
Camocim,2016,302
Camocim,2017,352
Camocim,2018,321
Camocim,2019,318
Camocim,2020,293
Camocim,2021,260
Camocim,2022,255
Camocim,2023,202
Campos Sales,2009,30
Campos Sales,2010,184
Campos Sales,2011,139
Campos Sales,2012,117
Campos Sales,2013,122
Campos Sales,2014,105
Campos Sales,2015,105
Campos Sales,2016,84
Campos Sales,2017,73
Campos Sales,2018,90
Campos Sales,2019,94
Campos Sales,2020,87
Campos Sales,2021,61
Campos Sales,2022,93
Campos Sales,2023,77
Canindé,2009,218
Canindé,2010,461
Canindé,2011,434
Canindé,2012,440
Canindé,2013,474
Canindé,2014,421
Canindé,2015,336
Canindé,2016,445
Canindé,2017,491
Canindé,2018,354
Canindé,2019,306
Canindé,2020,187
Canindé,2021,212
Canindé,2022,219
Canindé,2023,253
Capistrano,2009,2
Capistrano,2010,2
Capistrano,2011,7
Capistrano,2012,16
Capistrano,2013,6
Capistrano,2014,6
Capistrano,2015,13
Capistrano,2016,28
Capistrano,2017,45
Capistrano,2018,23
Capistrano,2019,22
Capistrano,2020,13
Capistrano,2021,20
Capistrano,2022,31
Capistrano,2023,23
Caridade,2009,17
Caridade,2010,18
Caridade,2011,24
Caridade,2012,24
Caridade,2013,16
Caridade,2014,23
Caridade,2015,13
Caridade,2016,15
Caridade,2017,16
Caridade,2018,50
Caridade,2019,39
Caridade,2020,18
Caridade,2021,19
Caridade,2022,21
Caridade,2023,29
Caririaçu,2009,23
Caririaçu,2010,52
Caririaçu,2011,54
Caririaçu,2012,85
Caririaçu,2013,57
Caririaçu,2014,17
Caririaçu,2015,42
Caririaçu,2016,44
Caririaçu,2017,48
Caririaçu,2018,48
Caririaçu,2019,59
Caririaçu,2020,27
Caririaçu,2021,32
Caririaçu,2022,44
Caririaçu,2023,51
Cariré,2009,8
Cariré,2010,20
Cariré,2011,14
Cariré,2012,14
Cariré,2013,21
Cariré,2014,15
Cariré,2015,8
Cariré,2016,12
Cariré,2017,36
Cariré,2018,26
Cariré,2019,18
Cariré,2020,16
Cariré,2021,23
Cariré,2022,36
Cariré,2023,31
Cariús,2009,16
Cariús,2010,9
Cariús,2011,10
Cariús,2012,20
Cariús,2013,23
Cariús,2014,14
Cariús,2015,19
Cariús,2016,19
Cariús,2017,10
Cariús,2018,21
Cariús,2019,26
Cariús,2020,19
Cariús,2021,21
Cariús,2022,19
Cariús,2023,34
Carnaubal,2010,1
Carnaubal,2011,2
Carnaubal,2013,11
